Last Modified,Full Path,Filename
2022-05-18 16:19:24 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220518-111923-155_a54224/upload1of1_20220518-111853-564~1~4543/May-18TEST1.mp4,May-18TEST1.mp4
2022-05-18 16:23:30 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220518-112328-699_59ce8f/upload1of1_20220518-112314-386~1~a9b3/May-18TEST1.mp4,May-18TEST1.mp4
2022-05-29 13:04:24 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220529-090422-950_5a3bfe/upload1of1_20220529-090346-990~1~6495/UNCODED with Katharine Bailey.mp4,UNCODED with Katharine Bailey.mp4
2022-05-29 13:28:10 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220529-092808-659_898584/upload1of1_20220529-092722-145~1~3096/joe1_test_33-280956431-2020-04-07-18-32-14-app-1.mov,joe1_test_33-280956431-2020-04-07-18-32-14-app-1.mov
2022-05-30 11:31:16 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220530-073115-134_ee0472/upload1of1_20220530-073035-665~1~7c21/UNCODED with Katharine Bailey.mp4,UNCODED with Katharine Bailey.mp4
2022-05-30 11:48:48 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220530-074846-781_83059a/upload1of1_20220530-074843-510~2~80bc/UNCODED with Katharine Bailey.mp4,UNCODED with Katharine Bailey.mp4
2022-05-30 12:25:39 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220530-082538-264_5ba027/upload1of1_20220530-082535-206~3~388f/UNCODED with Katharine Bailey.mp4,UNCODED with Katharine Bailey.mp4
2022-05-30 13:36:33 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220530-093632-093_5b6143/upload1of1_20220530-093629-246~4~03ca/UNCODED with Katharine Bailey.mp4,UNCODED with Katharine Bailey.mp4
2022-05-31 17:43:18 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220531-134314-977_042278/upload1of1_20220531-134310-490~5~a93e/IMG_20200205_133925.jpg,IMG_20200205_133925.jpg
2022-06-02 14:29:56 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220602-102955-359_47ec02/upload1of1_20220602-102924-768~1~6453/TEST_0602-2022.mp4,TEST_0602-2022.mp4
2022-06-02 17:37:38 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/CuratorConnectTemp/ccgroup_20220602-133736-798_db923b/upload1of1_20220602-133733-524~2~0583/TEST_0602-2022.mp4,TEST_0602-2022.mp4
2022-03-08 16:08:56 UTC,s3://cne-ipv-ingest//lucid/ipv-highres/ccgroup_20220308-160854-914_1aa978/upload1of1_20220308-160844-525~1~f825/Test8 3822.mp4,Test8 3822.mp4
2025-07-24 14:43:13 UTC,s3://cne-ipv-ingest/AD_ADO_10_026_BESPOKE_GEOPONIKA_GREENHOUSE_TOUR_072325_TEXTED_H264_v3-2c22dec2-90b0-4cb1-b88b-adfb756586fa/AD_ADO_10_026_BESPOKE_GEOPONIKA_GREENHOUSE_TOUR_072325_TEXTED_H264_v3.mp4,AD_ADO_10_026_BESPOKE_GEOPONIKA_GREENHOUSE_TOUR_072325_TEXTED_H264_v3.mp4
2023-05-25 20:35:28 UTC,s3://cne-ipv-ingest/Branded/Allure/10 Minute Beauty Routine/AL_AOF_09/AL_AOF_09_010_10_MINUTE_ROUTINE_CHLOE_BENNET_051623_TEXTLESS_Master-8ad2e6dc-6d9d-4be9-9ed8-c01827a06d70/AL_AOF_09_010_10_MINUTE_ROUTINE_CHLOE_BENNET_051623_TEXTLESS_Master.mov,AL_AOF_09_010_10_MINUTE_ROUTINE_CHLOE_BENNET_051623_TEXTLESS_Master.mov
2024-02-22 19:00:34 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_01-7a1128f2-7df5-430c-b14e-13507541dbe8/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_01.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_01.png
2024-02-22 19:00:19 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_02-0d26248d-78b8-4b7f-94e1-d16c97b97e40/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_02.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_02.png
2024-02-22 19:00:46 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_03-db58d114-7aa3-438c-b735-9f1abbbae580/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_03.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_03.png
2024-02-22 19:05:35 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_04-9d9636c5-cc2c-4913-b8f0-3e258dc6ee98/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_04.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_04.png
2024-02-22 19:00:36 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_05-80ac8e1d-225d-4cfa-9920-e8eda24eb011/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_05.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_05.png
2024-02-22 19:00:20 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_06-10e5b500-1717-4bb0-bf47-1a525e07c10b/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_06.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_06.png
2024-02-22 19:00:31 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_07-6358ac92-f389-4f82-9333-a61fb8f4ddd3/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_07.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_07.png
2024-02-22 19:00:21 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_08-32abb369-5f79-46e6-8bb4-1828335b906a/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_08.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_08.png
2024-02-22 19:00:21 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_09-38f2da72-623f-49c2-92c8-3da91def8cb2/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_09.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_09.png
2024-02-22 19:00:22 UTC,s3://cne-ipv-ingest/Branded/Allure/5 MInute Morning/AL_ABO_05_014_BV/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_10-61baf379-fc60-4f73-a701-709eeed3323d/AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_10.png,AL_ABO_05_014_BV_AL_Sulwhasoo_HERO_16x9_041923_FINAL_VIDEO_STILL_10.png
